id,nome,email,telefone,endereco,cidade,estado,data_nascimento,valor_compra,categoria_produto,forma_pagamento,status_pedido,data_pedido
4569,Ravi Macedo,noahcasa-grande@example.com,+55 (011) 8186 8916,"Condomínio Guilherme Martins, 1
Indaiá
73719-816 Aparecida Paulista / RS",Nunes dos Dourados,PB,1976-12-08,319.34,Móveis,Transferência,Concluído,2025-01-30 00:10:18
4570,João Viana,dguerra@example.net,(051) 3629-5803,"Distrito Nunes, 4
Dom Joaquim
10493312 Abreu / PB",Andrade de Minas,RO,2000-07-30,1725.27,Eletrônicos,Cartão de Crédito,Entregue,2025-01-02 19:43:10
4571,Esther Aparecida,teixeirabreno@example.org,(084) 6036 5284,"Trecho Vasconcelos, 17
São Cristóvão
72932-388 Pinto / SP",da Conceição,PE,2006-10-21,1025.11,Livros,Transferência,Entregue,2024-07-21 01:40:52
4572,Nicolas Rezende,da-luzluiz-miguel@example.org,0300-907-1536,"Condomínio de Gonçalves, 10
Aeroporto
81892-254 Barros / AM",Duarte de Minas,PB,1949-06-24,1366.04,Móveis,PIX,Em Processamento,2025-05-27 16:36:36
4573,Isis Duarte,joao-gabriel24@example.com,0300 522 1886,"Rua de Ribeiro
Vila Santa Monica 1ª Seção
75765-004 da Luz / PI",Alves,AL,1957-08-01,516.18,Móveis,Boleto,Concluído,2024-08-01 10:51:20
4574,Ayla Casa Grande,castroanthony-gabriel@example.org,+55 81 2114 1018,"Fazenda Guerra, 530
Barroca
52093785 Freitas da Serra / AM",Vasconcelos,PR,1989-08-26,1528.18,Móveis,Cartão de Crédito,Em Processamento,2025-04-04 01:44:16
4575,Luiz Gustavo Fernandes,carvalhoalana@example.com,21 6297 9336,"Praça Isabelly Montenegro, 87
São Tomaz
70372-704 Gomes / SC",Ferreira,GO,1962-10-01,1532.01,Livros,Boleto,Cancelado,2024-09-21 23:19:16
4576,Raquel Araújo,souzayan@example.com,0300 440 3071,"Vila Maria Liz Mendes, 71
Vila Independencia 3ª Seção
66346-197 Moraes / AM",Correia das Pedras,MA,1988-05-27,659.57,Eletrônicos,Transferência,Concluído,2024-10-15 17:53:59
4577,Luiz Henrique Aragão,nalbuquerque@example.net,+55 (084) 7112-1844,"Lago Guerra, 76
Vila Oeste
90414993 Martins de Minas / MA",Sousa,MG,1978-11-26,850.83,Vestuário,Cartão de Crédito,Em Processamento,2024-11-19 04:23:29
4578,Vicente Araújo,moreiraluiz-miguel@example.org,+55 (071) 2582-7056,"Área Pinto, 88
Vila Nova Gameleira 3ª Seção
58033064 Freitas / DF",Pereira das Pedras,CE,1995-03-06,458.9,Móveis,Transferência,Em Processamento,2024-11-25 13:09:53
4579,Sra. Anna Liz Santos,macedoagatha@example.com,(031) 6641-9781,"Morro Souza, 856
Ipiranga
87756879 Fonseca do Galho / ES",Souza,AM,1947-08-02,1954.29,Vestuário,Cartão de Crédito,Em Processamento,2024-09-21 01:55:17
4580,Kevin Nascimento,felipe22@example.com,(051) 2591 2354,"Loteamento de da Costa, 25
Olaria
54794214 Cassiano de Duarte / GO",Câmara da Praia,PE,1996-03-08,1308.93,Vestuário,PIX,Concluído,2025-01-11 07:13:05
4581,Mateus Fonseca,ian95@example.org,+55 61 3128 0599,"Sítio de Aparecida, 258
Bernadete
06078421 Caldeira da Praia / RJ",Barbosa da Serra,AC,1986-08-04,1872.36,Alimentos,PIX,Cancelado,2025-03-06 20:10:35
4582,Lucas Gabriel Andrade,alexandreoliveira@example.net,+55 (061) 7818-6356,"Feira de da Cruz, 64
Vila Trinta E Um De Março
33409-147 Peixoto / BA",Castro,RN,1989-12-30,641.6,Vestuário,Boleto,Entregue,2024-12-06 02:01:03
4583,Clara Farias,caldeirajose@example.net,84 3288-5444,"Rua Otto Rodrigues, 5
Vila Cemig
49754-917 Cassiano / SC",Machado de Goiás,SP,1953-02-15,1574.69,Alimentos,Transferência,Em Processamento,2024-12-23 02:04:16
4584,Aylla Rezende,caiovasconcelos@example.org,51 8921 9981,"Setor de Câmara, 99
Jardim Leblon
42012470 Aragão da Mata / TO",Ribeiro dos Dourados,RO,1946-11-02,1543.42,Eletrônicos,Transferência,Concluído,2025-01-06 17:33:58
4585,Liz Ramos,zpeixoto@example.com,+55 (071) 3910 5622,"Estação Andrade, 15
Rio Branco
80912-156 Borges Alegre / AP",Pastor do Oeste,RO,1977-12-18,1398.73,Eletrônicos,Cartão de Crédito,Entregue,2025-01-01 11:56:05
4586,Luiz Gustavo Cavalcanti,ana-clara83@example.org,61 9054-3281,"Rua Joaquim Moraes
Santa Branca
69018-178 da Mata / MS",Castro do Campo,MA,1975-07-12,1933.0,Alimentos,PIX,Em Processamento,2025-03-19 07:41:21
4587,Mateus Costa,maria-luisafarias@example.net,+55 21 7314-5064,"Trecho de Camargo, 9
Camargos
88193335 Porto / SC",Duarte de Fonseca,MT,2002-12-31,817.43,Eletrônicos,Boleto,Concluído,2024-12-14 01:53:39
4588,Bernardo Teixeira,joao-vitorbrito@example.org,31 4304 0728,"Condomínio Davi Miguel Gomes
Santa Rosa
30727017 da Mata do Norte / SC",Carvalho,TO,1993-08-27,304.9,Móveis,PIX,Cancelado,2025-02-07 07:11:19
4589,Dr. Arthur Miguel da Conceição,fsales@example.org,+55 (031) 0329-8245,"Fazenda de Fernandes
Inconfidência
58086-286 Lopes / PI",Araújo,PE,2000-08-02,1359.83,Eletrônicos,Transferência,Em Processamento,2025-06-08 06:41:41
4590,Alice Melo,ocarvalho@example.org,(084) 2723-1358,"Via Cassiano, 89
Minas Brasil
12505867 da Luz / MT",da Cunha da Mata,MT,1987-11-17,1472.15,Alimentos,Boleto,Concluído,2025-06-04 15:26:21
4591,Raquel das Neves,gabrielda-conceicao@example.com,41 9793-0861,"Estrada Vieira, 46
Camponesa 1ª Seção
88003049 Pimenta de Minas / PR",Caldeira de Goiás,SC,1962-12-19,1171.37,Móveis,PIX,Em Processamento,2024-07-11 18:25:02
4592,Juan Jesus,maria-isis54@example.com,0800-049-5778,"Quadra de Vargas, 4
Mariquinhas
18892726 Leão Alegre / MG",Mendonça,AP,1986-08-29,453.29,Vestuário,PIX,Concluído,2025-01-11 20:07:01
4593,Evelyn Gonçalves,nalbuquerque@example.net,(061) 2671-8401,"Estrada Ana Laura da Mata
Bernadete
82042269 Abreu / SC",Brito do Norte,AC,1992-04-14,1033.69,Vestuário,Cartão de Crédito,Cancelado,2024-12-15 02:07:57
4594,Luiz Henrique Fonseca,felipedias@example.org,(041) 7172-1049,"Morro Ferreira, 970
Vila Madre Gertrudes 3ª Seção
14698-135 Melo / PI",Sampaio,MS,2000-02-14,658.77,Vestuário,Cartão de Crédito,Cancelado,2024-07-19 23:06:26
4595,Luiz Otávio Ferreira,hrocha@example.com,+55 84 2591 6752,"Trecho de Dias, 58
Tupi A
21707-397 Machado / MA",Abreu,SE,1968-03-10,883.56,Alimentos,Transferência,Concluído,2025-02-07 15:52:57
4596,Vinicius Silveira,vazevedo@example.org,(061) 7690-2750,"Aeroporto Thomas Nunes, 86
Cruzeiro
10916-063 Fonseca do Oeste / AL",Pires de Pimenta,RR,1949-10-18,1308.18,Vestuário,PIX,Entregue,2025-04-04 22:21:38
4597,Maria Cecília Câmara,antony27@example.com,+55 (061) 1736-4159,"Passarela das Neves, 702
Aguas Claras
69445-575 Nunes / AL",da Luz das Flores,AM,1945-12-11,1503.17,Eletrônicos,Cartão de Crédito,Cancelado,2024-11-15 21:02:49
4598,Dr. Dante Cirino,moreirapedro-miguel@example.net,81 4471 9397,"Ladeira de Mendes, 33
Castelo
20857248 Sampaio de Nunes / MA",Barbosa das Flores,PE,1964-09-08,502.84,Vestuário,PIX,Em Processamento,2024-11-24 03:12:41
4599,José Pedro Azevedo,ana-laura87@example.org,41 1706-2607,"Estrada Aragão, 84
Milionario
13930160 Moreira / SE",Silveira,RJ,1979-12-01,840.38,Livros,Boleto,Cancelado,2024-07-25 00:15:28
4600,Ana Júlia Ribeiro,brunaribeiro@example.net,+55 (031) 4161 0637,"Largo Barros, 79
Ouro Minas
13867119 Moraes do Norte / MS",Brito,SE,1984-09-01,574.87,Livros,PIX,Em Processamento,2025-01-30 00:57:39
4601,Antonella Azevedo,cauajesus@example.com,+55 31 8385 8072,"Estação Diego Teixeira, 6
Mirtes
32011502 Porto Verde / CE",Cunha,BA,1960-07-08,437.33,Vestuário,PIX,Cancelado,2024-10-15 07:49:52
4602,Dr. Heitor Cavalcante,britoana@example.org,31 5456 4555,"Aeroporto de Lopes, 53
Santa Helena
22566991 Ferreira das Flores / RR",Moraes do Amparo,RS,1985-11-13,1577.61,Vestuário,Transferência,Cancelado,2025-06-12 19:13:35
4603,Emilly Correia,ana-julia25@example.com,+55 (011) 7029-0302,"Quadra Diogo Montenegro, 28
Jardim Vitoria
53812-865 Abreu / RR",Brito Alegre,PR,1976-02-14,1823.04,Livros,Boleto,Em Processamento,2024-08-20 16:09:13
4604,Raul Nogueira,benicionunes@example.com,84 1638-6870,"Viaduto Bruno Pacheco, 37
Carlos Prates
53027582 Cassiano da Serra / BA",Santos,RO,1993-10-04,771.95,Vestuário,Boleto,Cancelado,2024-12-09 12:36:48
4605,Sr. Bruno Ramos,maria-helenaborges@example.net,+55 71 4013-7115,"Núcleo de Castro, 9
Rio Branco
00699-381 Montenegro / GO",Rios,RO,1972-06-21,1514.99,Móveis,Cartão de Crédito,Em Processamento,2024-12-19 09:15:16
4606,Maria Fernanda Andrade,ayla51@example.com,0900 097 4260,"Sítio de Moura, 6
Grota
94858-592 Fogaça / PB",Rezende de Borges,RR,1989-01-13,1799.14,Livros,Boleto,Em Processamento,2024-11-04 10:51:01
4607,Enzo Aparecida,aylafarias@example.org,(061) 3687-4533,"Passarela Nogueira, 61
Vila Olhos D'água
35540-379 da Cruz de Costa / RR",Monteiro do Amparo,RR,1951-12-14,1699.94,Alimentos,Transferência,Cancelado,2024-12-10 07:12:24
4608,Sr. Lorenzo Oliveira,dmontenegro@example.net,(071) 3738-7421,"Favela de Aparecida, 94
Vila Canto Do Sabiá
26558-841 Campos Alegre / ES",Albuquerque das Pedras,RS,1955-04-22,406.49,Livros,Cartão de Crédito,Cancelado,2025-05-11 06:07:17
4609,Felipe Machado,zoeribeiro@example.net,(041) 3883-1047,"Viaduto Thiago Oliveira, 12
Cdi Jatoba
74815-167 Pinto / PB",Aparecida,PI,1963-03-12,1914.77,Eletrônicos,PIX,Em Processamento,2024-09-01 11:02:58
4610,Oliver Borges,bernardocosta@example.net,+55 81 7992-0477,"Chácara Fernanda Pacheco, 17
Vila Coqueiral
42882-003 Freitas / AP",Andrade,SC,1965-12-24,784.52,Móveis,Boleto,Concluído,2024-12-22 04:09:23
4611,Beatriz Santos,isabella90@example.org,(031) 5413 7414,"Distrito Larissa Sousa, 6
Boa União 1ª Seção
65785444 Ribeiro da Mata / BA",Sampaio,SC,2004-11-28,711.52,Alimentos,PIX,Cancelado,2025-05-06 03:10:43
4612,Carlos Eduardo da Mota,laura22@example.net,+55 (031) 5225 2065,"Avenida Sophie Carvalho, 997
Nova Vista
18021-614 Fogaça / PI",Camargo Paulista,TO,1996-05-03,171.74,Vestuário,Cartão de Crédito,Entregue,2024-11-03 05:55:29
4613,Sr. Igor Pereira,zvargas@example.com,51 7235 1010,"Feira Melo
Conjunto Jatoba
17518-101 Brito das Flores / PI",Guerra,RO,1945-04-25,998.04,Eletrônicos,Boleto,Cancelado,2025-05-15 10:17:37
4614,João Gabriel da Conceição,stephany46@example.com,+55 (071) 3216-0179,"Viela Isadora Rocha, 3
Sion
56961-521 Casa Grande / MT",da Rocha de Pastor,MS,1953-01-20,262.58,Eletrônicos,Cartão de Crédito,Concluído,2025-02-16 01:08:52
4615,Guilherme Alves,yancampos@example.net,+55 11 1491 1345,"Favela de Garcia
Conjunto Celso Machado
08006-024 Guerra do Oeste / AL",da Cunha do Galho,CE,1966-10-08,534.65,Móveis,Cartão de Crédito,Concluído,2024-10-22 21:51:34
4616,Otávio Caldeira,marquesmanuela@example.org,+55 (071) 9953 6855,"Condomínio Lopes
Vila São Gabriel Jacui
44307844 da Luz do Norte / MT",Brito,AP,1993-07-09,668.04,Alimentos,Boleto,Cancelado,2024-08-26 17:25:44
4617,Valentim Abreu,ngoncalves@example.com,+55 41 0403-2830,"Passarela Pedro Henrique Cavalcante, 86
Senhor Dos Passos
20443-889 Peixoto / MS",Vasconcelos,AC,1978-07-02,1627.21,Eletrônicos,Boleto,Cancelado,2024-09-28 06:01:41
4618,Ana Luiza Cavalcante,pedro-lucasviana@example.net,84 1108-3415,"Pátio de Nunes, 38
Marieta 1ª Seção
81320054 Ribeiro / AP",da Costa da Mata,PE,1948-12-22,1757.2,Alimentos,Cartão de Crédito,Entregue,2025-02-25 21:31:00
4619,Leonardo Camargo,alicia72@example.com,(084) 6074 0002,"Parque de Guerra
Estrela
14257-342 Ribeiro / AP",da Luz do Amparo,CE,1986-08-14,639.81,Alimentos,Transferência,Cancelado,2025-03-23 22:31:17
4620,Srta. Lavínia Caldeira,monteiromaria-luiza@example.net,31 0674-6992,"Área Souza, 28
Ernesto Nascimento
79189979 Almeida de Minas / PB",Ferreira,CE,2005-11-24,1724.46,Eletrônicos,Boleto,Concluído,2025-06-02 22:42:12
4621,Alice Barros,yuri25@example.net,0900 986 8724,"Esplanada Caldeira, 84
São Luiz
60345-780 da Costa / TO",Azevedo da Prata,PB,1963-11-20,1721.6,Alimentos,Cartão de Crédito,Entregue,2025-05-01 03:21:27
4622,Alice Jesus,da-rochaemilly@example.net,+55 (084) 2367-6956,"Condomínio Davi Marques, 900
Campo Alegre
84602901 Novais / SP",da Mota,RO,1979-02-20,1541.07,Móveis,PIX,Cancelado,2024-11-14 10:10:45
4623,Brayan Pires,marcelo50@example.org,+55 (051) 8222 9653,"Largo Cavalcanti, 58
Dom Silverio
66727-773 Silva Paulista / RO",da Costa,AP,1982-08-25,336.06,Eletrônicos,PIX,Entregue,2025-06-06 04:58:02
4624,Antony Mendes,ida-mata@example.com,(084) 9402-5571,"Vale Mendonça, 7
Marieta 2ª Seção
30673295 Rocha / PA",Novaes,RR,1997-07-30,1396.13,Móveis,Boleto,Entregue,2024-10-26 08:14:10
4625,Augusto Montenegro,pietro32@example.com,+55 (071) 0446 4525,"Chácara Olívia Santos, 6
Serra Verde
12223219 Teixeira / AL",Rios da Serra,RR,1951-12-06,1892.8,Móveis,Boleto,Concluído,2024-09-19 20:09:54
4626,Davi Lucca Carvalho,bcosta@example.com,+55 (041) 9660 5344,"Parque de Azevedo, 99
Das Industrias I
52665923 Pires do Campo / TO",da Conceição de Azevedo,AL,1990-09-10,1380.95,Alimentos,PIX,Concluído,2025-02-24 09:43:28
4627,Sophie Viana,aparecidayago@example.org,+55 (011) 4773 0520,"Lago de Mendes, 4
Morro Dos Macacos
95798-488 Martins / PA",Silveira da Prata,PR,1973-12-15,696.65,Alimentos,Cartão de Crédito,Em Processamento,2024-11-12 07:30:38
4628,Dra. Yasmin Machado,knogueira@example.org,11 0176-7604,"Quadra Ravy da Mata, 19
Bairro Das Indústrias Ii
92039-963 Araújo / RR",Machado de Vieira,GO,1946-05-05,1026.13,Eletrônicos,Cartão de Crédito,Concluído,2024-11-21 11:45:18
4629,Vitor Hugo Freitas,vcunha@example.com,+55 (051) 1990 9562,"Campo Castro, 54
Jardim Guanabara
36646389 Pimenta / MA",Albuquerque,PE,2002-01-09,1309.16,Vestuário,Cartão de Crédito,Em Processamento,2025-06-08 00:57:24
4630,Dr. Levi da Rocha,allana17@example.com,+55 (061) 8324 8588,"Fazenda de Vasconcelos
Nossa Senhora Do Rosário
10862-576 Cunha do Campo / MS",da Cruz,SC,1992-01-20,1045.61,Eletrônicos,Transferência,Concluído,2025-03-02 15:49:39
4631,Davi Lucas Marques,kamillycasa-grande@example.com,31 3253-5516,"Chácara de Câmara, 72
Vila Esplanada
95461811 Rezende de Sá / PR",Cavalcanti das Flores,GO,1978-04-12,283.91,Móveis,Boleto,Concluído,2024-09-02 11:03:33
4632,Sofia Aparecida,vitor-gabrielgomes@example.org,+55 84 0785-1048,"Passarela de da Rosa, 29
São Luiz
25155-046 Fogaça / SP",Costela,SC,1982-03-07,658.52,Alimentos,Transferência,Em Processamento,2025-03-05 10:45:00
4633,Manuela Novais,fariascecilia@example.org,(041) 5998-5888,"Parque de Fonseca, 7
Novo Aarão Reis
96304-632 Lopes / PI",Camargo Grande,RN,1959-02-16,1614.67,Móveis,Transferência,Em Processamento,2025-04-11 21:07:59
4634,Leonardo Caldeira,ana-liviamoraes@example.com,41 4635 9244,"Pátio Alexia Martins, 6
Coqueiros
00187-539 Peixoto / SP",Sá de Moura,SE,1953-09-04,1729.77,Livros,Transferência,Em Processamento,2025-01-22 01:42:31
4635,Ana Vitória Viana,marquesvitoria@example.org,61 7881 7488,"Praça das Neves, 4
Belmonte
52983049 Dias da Praia / RJ",Araújo do Campo,AC,2007-03-19,317.74,Livros,Transferência,Entregue,2025-03-22 03:07:03
4636,Cauê Mendes,calebcasa-grande@example.org,(031) 0737-6375,"Feira de Jesus, 31
Vila Petropolis
64005605 Novaes da Serra / RJ",Ferreira,GO,1951-10-08,1907.15,Móveis,Cartão de Crédito,Em Processamento,2025-01-10 11:30:44
4637,Renan Aparecida,andredas-neves@example.com,(061) 7591-2437,"Viela Sales, 20
Conjunto Novo Dom Bosco
09053-246 Sousa / RS",Gonçalves,PE,1987-01-05,691.2,Vestuário,Boleto,Entregue,2025-05-06 04:47:17
4638,Sr. Ian Cunha,pedro-henrique12@example.org,+55 (021) 5370-6959,"Trecho Sá, 663
Custodinha
70455340 Lima do Oeste / MS",Novais de Caldeira,RN,1951-06-06,1341.51,Vestuário,Boleto,Entregue,2024-09-22 18:21:19
4639,Emilly Fonseca,kbarbosa@example.org,+55 (081) 4665-9185,"Trecho de Gonçalves, 83
Santo André
53763-444 Gonçalves do Norte / GO",Silva,AL,1970-10-09,1516.06,Eletrônicos,Transferência,Em Processamento,2025-05-25 19:57:14
4640,Ana Laura Martins,benjaminvasconcelos@example.org,+55 (041) 2546 6787,"Jardim Melissa Pinto, 6
Vila Nova
64182-154 Teixeira da Serra / RO",Pereira,RS,1982-09-12,1633.3,Eletrônicos,Boleto,Em Processamento,2025-02-16 12:30:14
4641,Srta. Maria Campos,mendoncabenjamin@example.com,(084) 8105 5843,"Conjunto Emanuel Moura, 43
Vera Cruz
56944985 Nunes de Cardoso / MS",da Costa,RJ,2005-11-09,1894.21,Eletrônicos,PIX,Em Processamento,2025-05-12 16:00:30
4642,Mathias Rezende,mateus34@example.net,+55 (011) 2156 0299,"Vila Campos, 17
Ápia
17983-372 Ferreira de da Mata / PR",da Rocha Alegre,SC,1991-07-11,660.19,Alimentos,Cartão de Crédito,Concluído,2024-08-03 22:49:09
4643,Maria Luísa Pimenta,mnogueira@example.net,84 9818 0105,"Estação de Cavalcanti, 55
Jardim Felicidade
32422546 Camargo / PA",Nogueira de da Rosa,DF,1973-06-23,1724.09,Vestuário,Boleto,Concluído,2024-08-20 01:49:07
4644,Ryan Macedo,npastor@example.net,(071) 2646 0087,"Lago Fogaça
Maravilha
60228270 da Conceição / CE",Camargo de Almeida,PA,1955-04-28,306.79,Móveis,Cartão de Crédito,Em Processamento,2024-06-21 23:31:46
4645,Luna Siqueira,fernandesvitor-gabriel@example.com,+55 (021) 0570-7583,"Colônia de Sales, 5
Novo São Lucas
63300397 Cavalcante de Sales / MA",Leão Grande,MA,1986-08-06,1424.83,Livros,PIX,Cancelado,2025-01-01 09:39:52
4646,Rafaela Andrade,diogocaldeira@example.com,0300-342-9022,"Jardim Vasconcelos, 8
Maria Goretti
09922424 Caldeira / CE",da Cunha do Norte,PB,1981-06-12,1496.86,Vestuário,Cartão de Crédito,Em Processamento,2025-03-18 03:41:55
4647,Maria Alice Nascimento,maria-flor11@example.net,0300-828-8230,"Jardim Gonçalves
Cdi Jatoba
35782-432 Barros / PR",Sampaio de Fonseca,RR,1997-12-24,1371.56,Vestuário,PIX,Cancelado,2024-09-05 03:35:45
4648,Davi Lucca Cunha,fernandesjoaquim@example.org,+55 31 8656-5072,"Conjunto de das Neves, 6
Padre Eustáquio
87078507 Vargas do Norte / CE",Fernandes,MA,1994-11-18,542.01,Vestuário,Transferência,Concluído,2025-01-31 22:01:12
4649,Dra. Maria Clara Almeida,joaquim35@example.net,+55 31 6893 9920,"Chácara da Mota, 98
Novo Tupi
65266-633 Lopes do Oeste / PA",Cunha das Flores,MT,1976-10-23,1752.43,Eletrônicos,Boleto,Concluído,2025-04-15 22:35:08
4650,Srta. Alana Aparecida,vramos@example.net,+55 (061) 4611 0528,"Largo Mendes, 10
Ambrosina
91860830 Sales / MS",Cunha de Carvalho,AP,1959-05-03,379.27,Alimentos,Transferência,Cancelado,2024-12-05 17:23:14
4651,Brenda Siqueira,alexia83@example.com,+55 (051) 1552 7383,"Loteamento Lopes, 61
Olaria
42520384 Casa Grande do Norte / AP",Gomes,RJ,1974-05-31,154.59,Móveis,Boleto,Concluído,2024-07-11 21:48:02
4652,Sr. Vinicius da Rocha,theodoro59@example.org,51 1656 6141,"Lago Freitas, 11
Grajaú
17016720 Gonçalves da Prata / DF",Gonçalves Verde,ES,1990-05-26,1449.06,Eletrônicos,Transferência,Em Processamento,2025-01-05 13:57:02
4653,Gabriel Fonseca,novaesrebeca@example.org,84 2971 2222,"Ladeira Dias, 12
Vila Piratininga
18764178 das Neves do Sul / ES",Araújo de Fernandes,DF,1945-04-21,977.18,Alimentos,PIX,Cancelado,2025-05-05 07:08:24
4654,Ana Júlia Costa,camila72@example.com,+55 (051) 2788 6000,"Viela Melo
Vila Califórnia
88208-725 Carvalho de Goiás / CE",Souza,PE,1995-09-08,1705.74,Vestuário,Boleto,Cancelado,2025-05-19 21:55:49
4655,Luna Lima,bmarques@example.net,31 0101-0751,"Morro Davi Lucca Ribeiro, 87
Álvaro Camargos
90473826 Santos / CE",Fonseca,PB,1992-10-02,797.62,Alimentos,Transferência,Entregue,2024-08-23 03:57:59
4656,João Pacheco,kaiquecassiano@example.org,(041) 4150-8703,"Rodovia de Souza, 14
Vila Puc
91151-660 das Neves do Amparo / SP",Aparecida,RR,2004-02-04,378.14,Eletrônicos,Cartão de Crédito,Concluído,2024-08-28 11:39:58
4657,Gabrielly Pires,lsouza@example.org,51 0514 6468,"Praça Eloá Garcia, 2
Laranjeiras
70930029 Moraes das Pedras / TO",Rocha,MA,2001-07-19,1681.06,Vestuário,Cartão de Crédito,Cancelado,2025-02-15 09:23:32
4658,Sr. Rhavi Aparecida,fcastro@example.com,84 7030 7159,"Quadra Lopes, 49
Pedreira Padro Lopes
78409439 Moraes / AL",Almeida de Vieira,PA,1973-02-13,1120.37,Eletrônicos,Transferência,Cancelado,2025-04-20 19:48:04
4659,Daniela Cardoso,wviana@example.com,+55 84 7379 4937,"Condomínio Casa Grande, 993
Fazendinha
67245668 Casa Grande do Sul / PR",Silveira,BA,1946-06-25,418.93,Móveis,PIX,Cancelado,2025-01-11 14:57:25
4660,Alexia Cassiano,jadesouza@example.org,+55 (011) 5681-0003,"Chácara Lopes, 9
Vila Independencia 3ª Seção
38300-318 Silveira / AP",Siqueira de Silva,SC,1947-05-22,1454.75,Vestuário,Transferência,Concluído,2025-05-11 22:08:32
4661,Maria Julia Sales,vasconcelosbento@example.org,0300 660 7504,"Estação Isabelly Alves, 41
São Gabriel
79043853 Silveira / DF",Araújo do Campo,MT,1969-06-12,1046.67,Alimentos,Cartão de Crédito,Cancelado,2025-05-01 14:40:42
4662,Enzo Gabriel Cardoso,arthur-miguel94@example.org,+55 21 2677 0016,"Loteamento Nina Albuquerque, 34
Vila Coqueiral
08685-069 Azevedo das Flores / AP",Moreira,MT,1980-04-19,1228.41,Eletrônicos,Boleto,Cancelado,2024-06-23 05:43:10
4663,Natália Guerra,ayllaleao@example.net,21 9832 9397,"Passarela de Correia, 230
Bernadete
42417087 Gomes de Silveira / BA",Sousa,AM,1951-07-25,948.75,Livros,Boleto,Em Processamento,2025-04-03 11:54:56
4664,Dra. Ana Vitória Correia,maria-juliamontenegro@example.com,+55 84 3155 9660,"Via da Mota
Vila Nova Cachoeirinha 3ª Seção
91250-943 Barros Grande / RO",Gomes de Andrade,RO,1953-04-19,1665.98,Alimentos,Transferência,Em Processamento,2025-02-12 10:36:22
4665,Gabriela Machado,erick63@example.org,21 3391 5899,"Jardim Augusto Rodrigues
Conjunto Bonsucesso
29537809 da Luz / MA",Jesus,PA,2001-12-25,1667.65,Alimentos,Boleto,Entregue,2025-01-20 05:46:38
4666,Diogo Santos,lda-luz@example.org,(071) 4459 3537,"Rodovia Sousa, 55
Eymard
92981630 Teixeira do Amparo / MT",Peixoto das Flores,SE,1958-05-23,1433.31,Vestuário,Cartão de Crédito,Cancelado,2024-12-17 22:58:03
4667,Bryan da Rosa,gda-rosa@example.org,+55 81 4219-5706,"Distrito de Moura, 73
Marieta 3ª Seção
38766-354 Cavalcante do Amparo / PB",Almeida,AM,1953-08-21,255.53,Alimentos,Boleto,Concluído,2025-01-26 21:04:44
4668,Dra. Cecilia Dias,wmarques@example.net,11 9887-3642,"Esplanada de Farias, 563
Vale Do Jatoba
11677743 Aragão do Campo / RO",Cavalcante,MT,1951-05-12,1685.77,Eletrônicos,Transferência,Entregue,2024-10-13 23:07:52
4669,Ana Marques,uabreu@example.net,+55 31 7216-5950,"Chácara de Sousa
Santo Antônio
18876-369 Nascimento / AC",Dias,ES,2002-05-15,1358.48,Livros,Transferência,Entregue,2025-03-10 11:47:38
4670,Davi Lucca Lopes,lunnacassiano@example.com,51 4724 4838,"Ladeira Gustavo Caldeira
Zilah Sposito
85832-843 Costela / GO",Pereira,AM,1982-10-02,1409.2,Móveis,Transferência,Entregue,2025-01-12 12:38:21
4671,Sra. Aurora Leão,vmelo@example.com,51 7299 3885,"Morro Ramos, 63
Unidas
76186637 Cardoso da Serra / PA",Vargas,SP,1966-01-17,757.82,Livros,Cartão de Crédito,Cancelado,2025-01-26 12:53:55
4672,Paulo Caldeira,oliviasantos@example.net,11 6691-0832,"Vila de Vargas, 104
Silveira
98022-281 da Luz / SP",Macedo,MG,1972-05-24,1764.6,Eletrônicos,PIX,Entregue,2025-01-31 03:06:05
4673,Bruna Guerra,isis43@example.net,0500-383-4948,"Estrada de Araújo, 44
Conjunto Novo Dom Bosco
99999132 Novaes da Prata / GO",Vasconcelos,RS,2004-05-30,1464.47,Vestuário,Boleto,Concluído,2024-07-28 00:41:39
4674,Dra. Alícia Peixoto,wmendes@example.com,41 4838-7225,"Estação de da Cruz, 1
Vila Nova Cachoeirinha 2ª Seção
59370754 Oliveira das Flores / RS",Casa Grande,MS,1991-10-23,269.55,Eletrônicos,Transferência,Em Processamento,2025-06-13 20:33:01
4675,Alícia Freitas,felipesouza@example.org,(071) 0301 0535,"Feira Sara da Rocha, 44
Tiradentes
63471-163 Silveira / SE",Correia,MA,1951-09-18,845.17,Alimentos,PIX,Em Processamento,2024-08-11 06:55:58
4676,Dr. Pedro Henrique Moraes,larissa36@example.net,+55 (061) 3747 2558,"Conjunto de Siqueira, 27
Coração De Jesus
92011882 Campos de Martins / PE",Viana do Norte,PE,1990-04-07,1778.44,Vestuário,Transferência,Cancelado,2025-06-07 12:14:49
4677,Ana Carolina Oliveira,bferreira@example.net,+55 81 7581 1438,"Estação Eduarda Pimenta, 15
Santa Amelia
60240-027 Correia / AM",Alves,BA,1986-10-31,142.03,Móveis,Transferência,Concluído,2024-08-19 23:55:10
4678,Yuri Campos,pireslevi@example.com,+55 (081) 5334-1177,"Parque de Silva, 4
Jonas Veiga
99558-905 Nascimento Alegre / DF",Andrade,PE,1959-10-02,1924.76,Móveis,Cartão de Crédito,Concluído,2024-09-11 13:47:35
